,categories
0,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
1,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
3,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
14,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
37,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
49,"[{'alias': 'mongolian', 'title': 'Mongolian'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bbq', 'title': 'Barbeque'}]"
61,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
72,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'galleries', 'title': 'Art Galleries'}]"
83,"[{'alias': 'pizza', 'title': 'Pizza'}]"
107,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
120,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
121,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
136,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
178,"[{'alias': 'chinese', 'title': 'Chinese'}]"
268,"[{'alias': 'lounges', 'title': 'Lounges'}]"
316,"[{'alias': 'tikibars', 'title': 'Tiki Bars'}]"
347,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
389,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}]"
430,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}]"
538,"[{'alias': 'thai', 'title': 'Thai'}]"
596,"[{'alias': 'catering', 'title': 'Caterers'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]"
647,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
658,"[{'alias': 'bars', 'title': 'Bars'}]"
680,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]"
691,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
724,"[{'alias': 'persian', 'title': 'Persian/Iranian'}]"
736,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
747,"[{'alias': 'mexican', 'title': 'Mexican'}]"
769,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
780,"[{'alias': 'filipino', 'title': 'Filipino'}]"
791,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
802,"[{'alias': 'mexican', 'title': 'Mexican'}]"
835,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]"
836,"[{'alias': 'french', 'title': 'French'}]"
884,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
924,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
967,"[{'alias': 'portuguese', 'title': 'Portuguese'}]"
1001,"[{'alias': 'chinese', 'title': 'Chinese'}]"
1037,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
1087,"[{'alias': 'indpak', 'title': 'Indian'}]"
1115,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
