,lat,lng,name
0,43.8036603,-79.2620294,Agincourt North
1,43.7895309,-79.2560622,Agincourt South-Malvern West
2,43.6035413,-79.5464093,Alderwood
3,43.6698329,-79.407585,Annex
4,43.7360646,-79.3593583,Banbury-Don Mills
5,43.7627405,-79.45632499999999,Bathurst Manor
6,43.6973925,-79.30599699999999,Bay Street Corridor
7,43.778243,-79.3827578,Bayview Village
8,43.7964111,-79.385975,Bayview Woods-Steeles
9,43.7301254,-79.4113072,Bedford Park-Nortown
10,43.6879613,-79.467576,Beechborough-Greenbrook
11,43.765434,-79.248935,Bendale
12,43.712217,-79.244001,Birchcliffe-Cliffside
13,43.6892304,-79.4956953,Black Creek
14,43.67586259999999,-79.3381065,Blake-Jones
15,43.705883,-79.45632499999999,Briar Hill-Belgravia
16,43.7359137,-79.3718986,Bridle Path-Sunnybrook-York Mills
17,43.6869346,-79.3550041,Broadview North
18,43.6990115,-79.4844499,Brookhaven-Amesbury
19,43.653203,-79.3811395,Cabbagetown-South St. James Town
20,43.6869159,-79.45632499999999,Caledonia-Fairbank
21,43.6780371,-79.4094439,Casa Loma
22,43.7834548,-79.149209,Centennial Scarborough
23,43.7120865,-79.2818728,Clairlea-Birchmount
24,43.74069799999999,-79.438824,Clanton Park
25,43.724917,-79.22632899999999,Cliffcrest
26,43.6750652,-79.42542809999999,Corso Italia-Davenport
27,43.6867771,-79.308071,Danforth
28,43.6860447,-79.311236,Danforth East York
29,43.7837792,-79.352188,Don Valley Village
30,43.754001099999996,-79.28211739999999,Dorset Park
31,43.6627589,-79.4424011,Dovercourt-Wallace Emerson-Junction
32,43.6558326,-79.4281914,Dufferin Grove
33,43.6779526,-79.30993699999999,East End-Danforth
34,43.667113,-79.527974,Edenbridge-Humber Valley
35,43.7248212,-79.30498399999999,Eglinton East
36,43.7236919,-79.5462943,Elms-Old Rexdale
37,43.718533,-79.4394459,Englemount-Lawrence
38,43.66250369999999,-79.5772008,Eringate-Centennial-West Deane
39,43.6309156,-79.5434841,Etobicoke West Mall
40,43.720507,-79.33877799999999,Flemingdon Park
41,43.70431800000001,-79.4267845,Forest Hill North
42,43.6927315,-79.4169356,Forest Hill South
43,43.653226,-79.3831843,Glenfield-Jane Heights
44,43.679545,-79.3268397,Greenwood-Coxwell
45,43.752743,-79.19277699999999,Guildwood
46,43.77178199999999,-79.352086,Henry Farm
47,43.6594968,-79.467576,High Park North
48,43.6494825,-79.4619506,High Park-Swansea
49,43.78658,-79.18829199999999,Highland Creek
50,43.804877,-79.35468999999999,Hillcrest Village
51,43.6963578,-79.527033,Humber Heights-Westmount
52,43.7601003,-79.5717846,Humber Summit
53,43.7421301,-79.5406738,Humbermede
