,categories
2,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'pubs', 'title': 'Pubs'}]"
35,"[{'alias': 'bars', 'title': 'Bars'}]"
479,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
669,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'buffets', 'title': 'Buffets'}]"
758,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}]"
813,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
1141,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]"
1860,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
1894,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
1900,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
1904,"[{'alias': 'bookstores', 'title': 'Bookstores'}, {'alias': 'fashion', 'title': 'Fashion'}, {'alias': 'cafes', 'title': 'Cafes'}]"
1910,"[{'alias': 'skate_parks', 'title': 'Skate Parks'}]"
1924,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
1929,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
1931,"[{'alias': 'british', 'title': 'British'}, {'alias': 'pubs', 'title': 'Pubs'}]"
1939,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
1947,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
1950,"[{'alias': 'japanese', 'title': 'Japanese'}]"
1951,"[{'alias': 'pizza', 'title': 'Pizza'}]"
1955,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
1961,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
1963,"[{'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'chinese', 'title': 'Chinese'}]"
1964,"[{'alias': 'burgers', 'title': 'Burgers'}]"
1966,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
1968,"[{'alias': 'japanese', 'title': 'Japanese'}]"
1970,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
1971,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]"
1980,"[{'alias': 'parks', 'title': 'Parks'}]"
1981,"[{'alias': 'bars', 'title': 'Bars'}]"
1990,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'hotpot', 'title': 'Hot Pot'}]"
1992,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2012,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'mountainbiking', 'title': 'Mountain Biking'}]"
2013,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]"
2015,"[{'alias': 'pizza', 'title': 'Pizza'}]"
2020,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'seafood', 'title': 'Seafood'}]"
2024,"[{'alias': 'korean', 'title': 'Korean'}]"
2033,"[{'alias': 'divebars', 'title': 'Dive Bars'}]"
2034,"[{'alias': 'pizza', 'title': 'Pizza'}]"
2040,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
2042,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2043,"[{'alias': 'pizza', 'title': 'Pizza'}]"
2044,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}]"
2054,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'chinese', 'title': 'Chinese'}]"
2058,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2076,"[{'alias': 'bars', 'title': 'Bars'}]"
2082,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]"
2089,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'zoos', 'title': 'Zoos'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]"
2097,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
2098,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2101,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
2113,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
2121,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'dimsum', 'title': 'Dim Sum'}]"
2126,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
2139,"[{'alias': 'indpak', 'title': 'Indian'}]"
2144,"[{'alias': 'colombian', 'title': 'Colombian'}]"
2147,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
2150,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
2151,"[{'alias': 'bars', 'title': 'Bars'}]"
2161,"[{'alias': 'mexican', 'title': 'Mexican'}]"
2165,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'thai', 'title': 'Thai'}]"
2169,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'pizza', 'title': 'Pizza'}]"
2180,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2270,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
2291,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'noodles', 'title': 'Noodles'}]"
2311,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
2341,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'modern_european', 'title': 'Modern European'}]"
2474,"[{'alias': 'japanese', 'title': 'Japanese'}]"
2869,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
2880,"[{'alias': 'spanish', 'title': 'Spanish'}]"
2943,"[{'alias': 'bars', 'title': 'Bars'}]"
2954,"[{'alias': 'indpak', 'title': 'Indian'}]"
3089,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3123,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
3148,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
3171,"[{'alias': 'chinese', 'title': 'Chinese'}]"
3324,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'soup', 'title': 'Soup'}]"
3470,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
3486,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}]"
3492,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
3516,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
3525,"[{'alias': 'chinese', 'title': 'Chinese'}]"
3540,"[{'alias': 'steak', 'title': 'Steakhouses'}]"
3732,"[{'alias': 'food_court', 'title': 'Food Court'}]"
3756,"[{'alias': 'srilankan', 'title': 'Sri Lankan'}, {'alias': 'indpak', 'title': 'Indian'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
3785,"[{'alias': 'chinese', 'title': 'Chinese'}]"
3788,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
3836,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'importedfood', 'title': 'Imported Food'}]"
3891,"[{'alias': 'portuguese', 'title': 'Portuguese'}]"
3899,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'japanese', 'title': 'Japanese'}]"
3903,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
3911,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
3915,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotpot', 'title': 'Hot Pot'}]"
3921,"[{'alias': 'filipino', 'title': 'Filipino'}]"
3922,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
3923,"[{'alias': 'filipino', 'title': 'Filipino'}]"
3934,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]"
3941,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
4358,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
4432,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
4700,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]"
4747,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
4759,"[{'alias': 'korean', 'title': 'Korean'}]"
4773,"[{'alias': 'pizza', 'title': 'Pizza'}]"
4780,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
4781,"[{'alias': 'bars', 'title': 'Bars'}]"
4793,"[{'alias': 'indpak', 'title': 'Indian'}]"
4807,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
4809,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]"
4811,"[{'alias': 'moroccan', 'title': 'Moroccan'}]"
4812,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
4813,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
4818,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]"
4832,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'pakistani', 'title': 'Pakistani'}]"
4835,"[{'alias': 'dog_parks', 'title': 'Dog Parks'}]"
4836,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
4858,"[{'alias': 'chinese', 'title': 'Chinese'}]"
4863,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}]"
4866,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
4879,"[{'alias': 'bbq', 'title': 'Barbeque'}]"
4880,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]"
4881,"[{'alias': 'pubs', 'title': 'Pubs'}]"
4884,"[{'alias': 'divebars', 'title': 'Dive Bars'}]"
4885,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]"
4893,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]"
